"Issue Id","Parent Id","Issue Type","Summary","Description","Acceptance Criteria","Status","Priority","Labels"
"1","","Story","[FE] User Registration Flow","As a user, I want to create an account so that I can save events and itineraries.

This ticket covers the complete user registration flow including form input, validation, backend integration, error handling, and post-registration navigation.","- User can enter required registration details (name, email, password, confirm password)
- Validation errors are shown for invalid input
- Backend validation errors are displayed to the user (e.g., duplicate email)
- Loading state is shown during form submission
- Account is successfully created and auth tokens are stored securely
- User is redirected appropriately after successful registration","To Do","Medium","auth registration mvp"
"2","1","Sub-task","US-01.1: Implement/verify frontend form with all required fields","Implement/verify frontend form with all required fields","","To Do","Medium","auth registration mvp"
"3","1","Sub-task","US-01.2: Implement/verify client-side validation (required fields, email format, password strength, password match)","Implement/verify client-side validation (required fields, email format, password strength, password match)","","To Do","Medium","auth registration mvp"
"4","1","Sub-task","US-01.3: Integrate with backend signUp GraphQL mutation","Integrate with backend signUp GraphQL mutation","","To Do","Medium","auth registration mvp"
"5","1","Sub-task","US-01.4: Handle and display backend error responses","Handle and display backend error responses","","To Do","Medium","auth registration mvp"
"6","1","Sub-task","US-01.5: Implement post-registration redirect logic","Implement post-registration redirect logic","","To Do","Medium","auth registration mvp"
"7","1","Sub-task","US-01.6: Write unit and integration tests","Write unit and integration tests","","To Do","Medium","auth registration mvp"
"8","","Story","[BE] User Registration API","As a backend service, I need to provide a secure user registration endpoint so that the frontend can create new user accounts.

This ticket covers the backend implementation of the signUp GraphQL mutation including user creation, password hashing, token generation, and profile initialization.","- signUp mutation accepts email, password, firstName, lastName
- Password is hashed before storage
- Duplicate email returns USER_EXISTS error
- User profile is auto-created on registration
- Access and refresh tokens are generated
- Session is created and tracked
- Response includes authPayload with user data","Done","Medium","auth registration backend mvp"
"9","8","Sub-task","US-01-BE.1: Verify signUp mutation arguments and response","Verify signUp mutation arguments and response","","Done","Medium","auth registration backend mvp"
"10","8","Sub-task","US-01-BE.2: Verify password hashing (not plaintext)","Verify password hashing (not plaintext)","","Done","Medium","auth registration backend mvp"
"11","8","Sub-task","US-01-BE.3: Verify duplicate email handling","Verify duplicate email handling","","Done","Medium","auth registration backend mvp"
"12","8","Sub-task","US-01-BE.4: Verify UserProfile signal creates profile","Verify UserProfile signal creates profile","","Done","Medium","auth registration backend mvp"
"13","8","Sub-task","US-01-BE.5: Verify JWT token generation","Verify JWT token generation","","Done","Medium","auth registration backend mvp"
"14","8","Sub-task","US-01-BE.6: Verify RefreshToken storage","Verify RefreshToken storage","","Done","Medium","auth registration backend mvp"
"15","8","Sub-task","US-01-BE.7: Write pytest unit tests for signUp mutation","Write pytest unit tests for signUp mutation","","Done","Medium","auth registration backend mvp"
"16","","Story","[BE] User Login/Logout API","As a backend service, I need to provide secure login and logout endpoints so that users can authenticate and manage their sessions.

This ticket covers the backend implementation of the signIn and signOut GraphQL mutations including credential validation, session management, and token handling.","- signIn mutation validates email and password
- Invalid credentials return INVALID_CREDENTIALS error
- Deactivated accounts return ACCOUNT_DEACTIVATED error
- Access and refresh tokens are generated
- Session is created with device info
- Existing valid refresh tokens are reused
- signOut clears session/tokens","Done","Medium","auth login logout backend mvp"
"17","16","Sub-task","US-02-BE.1: Verify signIn mutation arguments and response","Verify signIn mutation arguments and response","","Done","Medium","auth login logout backend mvp"
"18","16","Sub-task","US-02-BE.2: Verify password validation","Verify password validation","","Done","Medium","auth login logout backend mvp"
"19","16","Sub-task","US-02-BE.3: Verify inactive account handling","Verify inactive account handling","","Done","Medium","auth login logout backend mvp"
"20","16","Sub-task","US-02-BE.4: Verify session creation with device info","Verify session creation with device info","","Done","Medium","auth login logout backend mvp"
"21","16","Sub-task","US-02-BE.5: Verify refresh token reuse logic","Verify refresh token reuse logic","","Done","Medium","auth login logout backend mvp"
"22","16","Sub-task","US-02-BE.6: Verify signOut clears session","Verify signOut clears session","","Done","Medium","auth login logout backend mvp"
"23","16","Sub-task","US-02-BE.7: Write pytest unit tests for signIn/signOut","Write pytest unit tests for signIn/signOut","","Done","Medium","auth login logout backend mvp"
"24","","Story","[FE] User Login/Logout Flow","As a user, I want to log in and log out so that I can securely access my data.

This ticket covers the complete login and logout flow including credential validation, session persistence, error handling, and secure token management.","- User can log in with valid credentials
- Invalid login shows error message
- Session persists while active (tokens stored securely)
- User can log out successfully
- After logout, user cannot access protected routes","Done","Medium","auth login logout mvp"
"25","24","Sub-task","US-02.1: Verify login form with email/password fields","Verify login form with email/password fields","","Done","Medium","auth login logout mvp"
"26","24","Sub-task","US-02.2: Verify client-side validation (required fields, email format)","Verify client-side validation (required fields, email format)","","Done","Medium","auth login logout mvp"
"27","24","Sub-task","US-02.3: Verify signIn GraphQL mutation integration","Verify signIn GraphQL mutation integration","","Done","Medium","auth login logout mvp"
"28","24","Sub-task","US-02.4: Verify invalid credentials error handling","Verify invalid credentials error handling","","Done","Medium","auth login logout mvp"
"29","24","Sub-task","US-02.5: Verify session persistence on app restart","Verify session persistence on app restart","","Done","Medium","auth login logout mvp"
"30","24","Sub-task","US-02.6: Verify logout clears tokens and redirects","Verify logout clears tokens and redirects","","Done","Medium","auth login logout mvp"
"31","24","Sub-task","US-02.7: Write unit and integration tests","Write unit and integration tests","","Done","Medium","auth login logout mvp"
"32","","Story","[FE] Browse Event Listings","As a user, I want to view a list of events so that I can discover activities near me.

This ticket introduces the Events browsing feature. Events are admin-created activities that users can browse and discover.","- Event list displays from GraphQL API
- Each event shows basic info (title, date, location, image)
- Loading state is present during data fetch
- Empty state is handled gracefully
- Events are browsable","To Do","High","events discovery mvp"
"33","32","Sub-task","US-03.1: Define Event type/interface in graphql/types.ts","Define Event type/interface in graphql/types.ts","","To Do","High","events discovery mvp"
"34","32","Sub-task","US-03.2: Create GraphQL query for fetching events (GET_EVENTS)","Create GraphQL query for fetching events (GET_EVENTS)","","To Do","High","events discovery mvp"
"35","32","Sub-task","US-03.3: Generate types with graphql-codegen","Generate types with graphql-codegen","","To Do","High","events discovery mvp"
"36","32","Sub-task","US-03.4: Create useEvents hook in graphql/hooks.ts","Create useEvents hook in graphql/hooks.ts","","To Do","High","events discovery mvp"
"37","32","Sub-task","US-03.5: Create EventCard component (components/Cards/EventCard.tsx)","Create EventCard component (components/Cards/EventCard.tsx)","","To Do","High","events discovery mvp"
"38","32","Sub-task","US-03.6: Create EventList screen (screens/Events/EventList.tsx)","Create EventList screen (screens/Events/EventList.tsx)","","To Do","High","events discovery mvp"
"39","32","Sub-task","US-03.7: Add Events route to navigation","Add Events route to navigation","","To Do","High","events discovery mvp"
"40","32","Sub-task","US-03.8: Implement loading state with skeleton/spinner","Implement loading state with skeleton/spinner","","To Do","High","events discovery mvp"
"41","32","Sub-task","US-03.9: Implement empty state UI","Implement empty state UI","","To Do","High","events discovery mvp"
"42","32","Sub-task","US-03.10: Write unit tests for EventCard and EventList","Write unit tests for EventCard and EventList","","To Do","High","events discovery mvp"
"43","","Story","[BE] Events API - List Events","As a backend service, I need to provide an API endpoint to fetch events so that users can browse available activities.

This ticket covers the backend implementation of the Event model and getEvents GraphQL query for fetching admin-created events.","- Event model created with required fields
- getEvents GraphQL query returns list of events
- Events can be filtered by category (optional)
- Events ordered by date (upcoming first)
- Only active events returned
- Response includes all event details for display","To Do","High","events discovery backend mvp"
"44","43","Sub-task","US-03-BE.1: Create Event model in apps/core/models.py or apps/events/","Create Event model in apps/core/models.py or apps/events/","","To Do","High","events discovery backend mvp"
"45","43","Sub-task","US-03-BE.2: Create and run migrations","Create and run migrations","","To Do","High","events discovery backend mvp"
"46","43","Sub-task","US-03-BE.3: Register Event in Django admin for admin creation","Register Event in Django admin for admin creation","","To Do","High","events discovery backend mvp"
"47","43","Sub-task","US-03-BE.4: Create EventType GraphQL type","Create EventType GraphQL type","","To Do","High","events discovery backend mvp"
"48","43","Sub-task","US-03-BE.5: Create getEvents query with optional filters","Create getEvents query with optional filters","","To Do","High","events discovery backend mvp"
"49","43","Sub-task","US-03-BE.6: Add seed data for testing (management command)","Add seed data for testing (management command)","","To Do","High","events discovery backend mvp"
"50","43","Sub-task","US-03-BE.7: Write pytest unit tests for getEvents query","Write pytest unit tests for getEvents query","","To Do","High","events discovery backend mvp"
"51","","Story","[FE] Event Detail View","As a user, I want to view details of an event so I can decide if I'm interested.

This ticket covers the frontend implementation of the Event Detail screen, displaying full event information when a user taps on an event card.","- Clicking/tapping event card opens detail view
- Detail view displays: title, description, date, time, location, category, image, price
- Back navigation available and works correctly
- Loading state while fetching event details
- Error state if event not found or fetch fails","To Do","High","events detail mvp"
"52","51","Sub-task","US-04.1: Create EventDetail screen (screens/Events/EventDetail.tsx)","Create EventDetail screen (screens/Events/EventDetail.tsx)","","To Do","High","events detail mvp"
"53","51","Sub-task","US-04.2: Add EventDetail route to navigation with event ID param","Add EventDetail route to navigation with event ID param","","To Do","High","events detail mvp"
"54","51","Sub-task","US-04.3: Create GET_EVENT query for single event fetch","Create GET_EVENT query for single event fetch","","To Do","High","events detail mvp"
"55","51","Sub-task","US-04.4: Create useEvent hook in graphql/hooks.ts","Create useEvent hook in graphql/hooks.ts","","To Do","High","events detail mvp"
"56","51","Sub-task","US-04.5: Implement EventDetail UI with all event fields","Implement EventDetail UI with all event fields","","To Do","High","events detail mvp"
"57","51","Sub-task","US-04.6: Implement back navigation","Implement back navigation","","To Do","High","events detail mvp"
"58","51","Sub-task","US-04.7: Add loading and error states","Add loading and error states","","To Do","High","events detail mvp"
"59","51","Sub-task","US-04.8: Wire up navigation from EventCard to EventDetail","Wire up navigation from EventCard to EventDetail","","To Do","High","events detail mvp"
"60","51","Sub-task","US-04.9: Write unit tests for EventDetail screen","Write unit tests for EventDetail screen","","To Do","High","events detail mvp"
"61","","Story","[BE] Event Detail API - Get Single Event","As a backend service, I need to provide an API endpoint to fetch a single event by ID so that users can view full event details.

This ticket covers the backend implementation of the getEvent GraphQL query for fetching a single event with all its details.","- getEvent query accepts event ID parameter
- Returns complete event object with all fields
- Includes resolved category relationship
- Returns null/error for non-existent event ID
- Inactive events return appropriate response","To Do","High","events detail backend mvp"
"62","61","Sub-task","US-04-BE.1: Create getEvent query in GraphQL schema","Create getEvent query in GraphQL schema","","To Do","High","events detail backend mvp"
"63","61","Sub-task","US-04-BE.2: Implement getEvent resolver","Implement getEvent resolver","","To Do","High","events detail backend mvp"
"64","61","Sub-task","US-04-BE.3: Handle non-existent event ID","Handle non-existent event ID","","To Do","High","events detail backend mvp"
"65","61","Sub-task","US-04-BE.4: Handle inactive event appropriately","Handle inactive event appropriately","","To Do","High","events detail backend mvp"
"66","61","Sub-task","US-04-BE.5: Ensure category relationship resolves","Ensure category relationship resolves","","To Do","High","events detail backend mvp"
